VictimName,Country,Event,Date,Type,EventDescription,PersonDescription,EventCount,Kind,Astronaut,Source,Source2,Source3,
Pierre and Tee-Nom,USA,Orbiting Frog Otolith,15 November 1970,American bullfrog,"The Orbiting Frog Otolith spacecraft launched atop a Scout B rocket from Launch Area 3 at Wallops Flight Facility on 9 November 1970.  The spacecraft held two American bullfrogs (named Pierre and Tee-Nom) for an experiment to evaluate how the otolith, an inner ear structure that enables perception of acceleration, acclimates to microgravity.  The experiment was successful at collecting the desired data, but both frogs died when the onboard battery failed.  Nonetheless, the spacecraft had no recovery system, so Pierre and Tee-Nom were doomed regardless.","Pierre and Tee-Nom (Louisiana French for 'Little Name') were two American bullfrogs purchased from the Louisiana Frog Company and downselected from a group of 20 candidate.  The Orbiting Frog Otolith sought to understand how the microgravity affects the otolith, am inner ear structure made of calcium carbonate that permits the preception of acceleration in vertebrates.  Bullfrogs were chosen for the experiemtn because of how similar their inner ear is to a human's.||Each frog had electrodes implanted in their thoracic cavity and vestibular nerves.  To stop the frogs from moving and dislodging the electrodes, researchers severed the nerves of their arms and legs, rendering them quadriplegic.||The frogs were held within a water-filled centrifuge in the spacecraft that periodically rotated their them to gauge their vestibular response.  The water helped cushion the frogs from the acceleration of the rocket launch and let them breathe through their skin.||Pierre and Tee-Nom died on their seventh day in orbit when the onboard battery failed.  A recovery system wasn't included in the spacecraft, meaning the frogs were always expected to die.||The included photograph shows a researcher implanting electrodes in a bullfrog in preparation for the OFO experiment that may or may not be one of the animals that flew to space.",2,amphibian,,https://en.wikipedia.org/wiki/Orbiting_Frog_Otolith,,,
Celedonio,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Alfa,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Gamma,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Alejo,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Aurelio,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Anastasio,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Braulio,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Benito,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Cipriano,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
Coco,Argentina ,Project BIO,19 May 1967,Wistar Rat,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,mouse,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
capuchin monkey,Argentina ,Project BIO,19 May 1967,capuchin Monkey,"After a successful suborbital flight with a Wistar rat named Belisario atop a Yarará rocket on 11 April 1967, Argentina's ICTE (Instituto Civil de Tecnología Espacial) launched another Wistar rat named Celedonio atop an Orión II on 19 May from CELPA (Centro de Experimentación y Lanzamiento de Proyectiles Autopropulsados) at Chamical.  Unfortunately, the parachute became entangled with the rocket's motor and Celedonio died upon impacting the ground.||It is recorded that between Celedonio's flight and the successful flight of a tufted capuchin monkey named Juan on 23 December 1969, several named rats and one unnamed capuchin monkey died during suborbital flights, but further details are unknown.",,2,monkey,,https://forosanmartin.wordpress.com/2009/03/02/ratones-argentinos-al-espacio/,,,
8 quail,USSR,Mir EO-6,22 March 1990,quail,Commander Anatoli Soloviyov and flight engineer Aleksandr Balandin operated the Mir space station when Progress M-3 delivered 33 fertilized quail eggs on 3 March 1990 to be incubated in the Kvant-2 modules's Inkubator 2.  8 of the eggs hatched on 22 March but the hatchlings were unable to feed themselves and were euthanized.,,2,bird,,http://judy-volker.com/Space/AnimalAstronautsPart4.html,,,
25 fertilized quail eggs,USSR,Mir EO-6,22 March 1990,quail,Commander Anatoli Soloviyov and flight engineer Aleksandr Balandin operated the Mir space station when Progress M-3 delivered 33 fertilized quail eggs on 3 March 1990 to be incubated in the Kvant-2 modules's Inkubator 2.  8 of the eggs hatched on 22 March but the hatchlings were unable to feed themselves and were euthanized.,,2,bird,,http://judy-volker.com/Space/AnimalAstronautsPart4.html,,,
12 Mongolian gerbils,Russia,Foton-M No. 3,26 September 2007,mouse,"Foton-M No. 3 was launched atop a Soyuz-U rocket from Baikonur Cosmodrome on 14 September 2007.  It orbited Earth for 12 days before successfully re-entering the atmosphere and landing.  It exposed numerous desiccated water bears to the vacuum of space, who had a survival rate between 79% and 95% depending on whether they had been desiccated prior to flight using filter paper or leaf litter, respectively.  A separate experiment studied the biology of a dozen Mongolian gerbils, who were noted to move around 'chaotically' in their enclosure during orbit.  They were killed within a day of landing for dissection.  In a separate experiment, the cockroach Nadezhda conceived and produced 33 offspring after landing.",,2,mouse,,https://eurekamag.com/research/070/303/070303773.php,https://onlinelibrary.wiley.com/doi/10.1111/j.1439-0469.2010.00606.x?saml_referrer,https://www.semanticscholar.org/paper/%5BGerbil-experiment-in-the-flight-of-spacecraft-Il%E2%80%99in-Smirnov/267044748b1edfeb475cfde1ed1eaa317ae3a3f6,
water bears (Paramacrobiotus richtersi),Russia,Foton-M No. 3,26 September 2007,bug,"Foton-M No. 3 was launched atop a Soyuz-U rocket from Baikonur Cosmodrome on 14 September 2007.  It orbited Earth for 12 days before successfully re-entering the atmosphere and landing.  It exposed numerous desiccated water bears to the vacuum of space, who had a survival rate between 79% and 95% depending on whether they had been desiccated prior to flight using filter paper or leaf litter, respectively.  A separate experiment studied the biology of a dozen Mongolian gerbils, who were noted to move around 'chaotically' in their enclosure during orbit.  They were killed within a day of landing for dissection.  In a separate experiment, the cockroach Nadezhda conceived and produced 33 offspring after landing.",,2,bug,,https://eurekamag.com/research/070/303/070303773.php,https://onlinelibrary.wiley.com/doi/10.1111/j.1439-0469.2010.00606.x?saml_referrer,https://www.semanticscholar.org/paper/%5BGerbil-experiment-in-the-flight-of-spacecraft-Il%E2%80%99in-Smirnov/267044748b1edfeb475cfde1ed1eaa317ae3a3f6,
5 ornate day geckos,Russia,Foton-M No. 4,1 September 2014,reptile,"Foton-M No. 4 was launched atop a Soyuz-2 rocket from Baikonur Cosmodrome on 18 July 2014.  Along with several materials experiments, it carried geckos (that all died at some point during the mission), fruit flies, silkworm eggs, seeds, and mushrooms.  The spacecraft landed on 1 September, two weeks earlier than intended after failing to raise its orbit.","The gecko experiment was intended to reveal the effect of microgravity on their reproductive behavior, but all of them died at some point during the mission for unspecified reasons.  The particular species chosen for Foton-M No. 4, the ornate day gecko, was picked because it doesn't require live insects as food.||All five geckos can be seen in their enclosure in the included photo.  The numbers indicate 1) food dispenser, 2) water dispenser, 3) heaters, 4) tubular shelters, 5) wall panels, 6) vents, 7) floor panel, 8) LEDs, 9) video camera and fan",2,reptile,,https://spaceflightnow.com/news/n1409/01fotonm4/,https://en.wikipedia.org/wiki/Foton-M_No.4,https://www.space.com/27003-russia-space-geckos-dead.html,https://www.mdpi.com/1422-0067/20/12/3019#
8 mice,USA,Discoverer III (Thor 174),3 June 1959,mouse,"Discoverer III, an reconnaissance satellite, launched aboard a Thor-Agena rocket from Vandenberg Launch Complex 75-3-4.  The satellite contained mice within a secondary payload and, if successful, would have been the first spacecraft to return animals from orbit.  During stage separation, the first stage veered downward, causing the second stage and its passengers to crash into the Pacific ocean.","The first attempted launch of Discoverer III was aborted when biological telemetry from the mouse capsule suddenly stopped at the launchpad.  Opening the capsule revealed that the four mice had eaten some of the Krylon coating of their cages and been poisoned.||Four new mice were selected, but during launch preparations, the humidity sensor suddenly transmitted a reading of 100%.  Researchers realized that the mice had urinated on the sensor, but there was no way to dry the sensor (or the rest of the capsule) without unfueling the rocket and de-integrating the whole assembly.  All biological telemetry from the mice then ceased, making it likely that they had died of hyperthermia.  Even if they had survived, the rocket crashed into the ocean after takeoff.||A mock funeral for the second set of four mice was held with four rubber toy mice.||The included image shows researchers working on the mouse capsule.  Four mice can bee seen within their respective cages.",8,mouse,,,,,
